|html_url|pdf_url
31751|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-022-00269-1|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-022-00269-1.pdf
31752|https://jbioleng.biomedcentral.com/articles/10.1186/s13036-024-00420-9|https://jbioleng.biomedcentral.com/counter/pdf/10.1186/s13036-024-00420-9.pdf
32316|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-022-00091-8|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-022-00091-8.pdf
32318|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-024-00080-2|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-024-00080-2.pdf
32885|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-023-00285-9|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-023-00285-9.pdf
32887|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-023-00199-y|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-023-00199-y.pdf
32888|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00313-2|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00313-2.pdf
33462|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-024-00214-w|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-024-00214-w.pdf
33463|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01234-y|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01234-y.pdf
33464|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00312-3|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00312-3.pdf
33465|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00857-6|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00857-6.pdf
34044|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-021-00081-2|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-021-00081-2.pdf
34630|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-023-00283-x|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-023-00283-x.pdf
35220|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-022-00065-z|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-022-00065-z.pdf
35222|https://jcheminf.biomedcentral.com/articles/10.1186/s13321-024-00891-4|https://jcheminf.biomedcentral.com/counter/pdf/10.1186/s13321-024-00891-4.pdf
35819|https://bmcbiomedeng.biomedcentral.com/articles/10.1186/s42490-023-00072-8|https://bmcbiomedeng.biomedcentral.com/counter/pdf/10.1186/s42490-023-00072-8.pdf
36419|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-023-00185-4|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-023-00185-4.pdf
37023|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-024-00305-2|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-024-00305-2.pdf
37633|https://crimesciencejournal.biomedcentral.com/articles/10.1186/s40163-024-00205-x|https://crimesciencejournal.biomedcentral.com/counter/pdf/10.1186/s40163-024-00205-x.pdf
38251|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00452-5|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00452-5.pdf
38252|https://foodsafetyandrisk.biomedcentral.com/articles/10.1186/s40550-018-0069-y|https://foodsafetyandrisk.biomedcentral.com/counter/pdf/10.1186/s40550-018-0069-y.pdf
38870|https://energsustainsoc.biomedcentral.com/articles/10.1186/s13705-024-00467-y|https://energsustainsoc.biomedcentral.com/counter/pdf/10.1186/s13705-024-00467-y.pdf
38874|https://jbiomedsem.biomedcentral.com/articles/10.1186/s13326-022-00274-4|https://jbiomedsem.biomedcentral.com/counter/pdf/10.1186/s13326-022-00274-4.pdf
39497|https://biomedical-engineering-online.biomedcentral.com/articles/10.1186/s12938-024-01256-6|https://biomedical-engineering-online.biomedcentral.com/counter/pdf/10.1186/s12938-024-01256-6.pdf
40128|https://bmcchem.biomedcentral.com/articles/10.1186/s13065-024-01215-1|https://bmcchem.biomedcentral.com/counter/pdf/10.1186/s13065-024-01215-1.pdf
